                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4797,                 2.5675,                 1.3626,                0.83047,                 0.2059,                0.20852,                0.12173,                 1.3408,                 1.8006,                 1.3722,              0.0033229,              0.0033229,              0.0033229
                      1,                 1.3675,                 1.7576,                 1.2856,                0.62788,                0.26511,                0.23193,                  0.128,                 1.4078,                 1.8681,                 1.4239,              0.0066388,              0.0066388,              0.0066388
                      2,                 1.4026,                 1.6537,                 1.3146,                0.51494,                0.28785,                0.23065,                  0.113,                  1.521,                 1.7652,                 1.5051,              0.0099375,              0.0099375,              0.0099375
                      3,                 1.4402,                 1.5564,                 1.3425,                0.65198,                0.25214,                0.25839,                0.13682,                 1.4619,                 1.6384,                 1.5032,              0.0099218,              0.0099218,              0.0099218
                      4,                 1.4171,                  1.415,                 1.3489,                0.53071,                0.32934,                0.29305,                0.15987,                 1.4035,                 1.5195,                 1.4362,              0.0099218,              0.0099218,              0.0099218
                      5,                 1.4016,                 1.3239,                 1.3395,                0.42462,                0.37063,                0.35131,                0.19169,                 1.3999,                 1.3662,                 1.4308,              0.0098958,              0.0098958,              0.0098958
                      6,                 1.3777,                 1.2469,                 1.3294,                0.59821,                0.34831,                0.34804,                0.19908,                 1.3803,                 1.3312,                  1.427,              0.0098697,              0.0098697,              0.0098697
                      7,                 1.3559,                 1.1995,                   1.32,                0.53337,                0.38417,                0.38738,                0.20146,                 1.3398,                 1.2328,                 1.4008,              0.0098437,              0.0098437,              0.0098437
                      8,                 1.3361,                 1.1458,                 1.3049,                0.66045,                0.31269,                0.36019,                0.20778,                 1.3558,                 1.1995,                 1.4027,              0.0098176,              0.0098176,              0.0098176
                      9,                 1.3148,                 1.0994,                 1.2947,                0.54548,                0.45223,                0.42758,                0.23672,                 1.3157,                 1.1159,                 1.3767,              0.0097916,              0.0097916,              0.0097916
                     10,                   1.31,                 1.0665,                 1.2945,                0.49805,                 0.4004,                 0.4032,                0.22849,                 1.3117,                 1.1409,                 1.3632,              0.0097655,              0.0097655,              0.0097655
                     11,                 1.3087,                   1.08,                 1.2918,                0.56408,                0.47851,                0.43786,                0.22926,                 1.3164,                 1.0947,                 1.3691,              0.0097395,              0.0097395,              0.0097395
                     12,                 1.2864,                 1.0374,                 1.2859,                0.58979,                0.47729,                0.45825,                0.24977,                 1.3141,                 1.0942,                  1.363,              0.0097134,              0.0097134,              0.0097134
                     13,                 1.2909,                 1.0348,                 1.2873,                0.54454,                 0.4162,                0.42824,                0.25074,                 1.2874,                 1.0761,                 1.3628,              0.0096874,              0.0096874,              0.0096874
                     14,                  1.283,                 1.0366,                 1.2828,                0.58495,                0.44338,                0.46637,                0.24544,                 1.2895,                 1.0718,                 1.3424,              0.0096613,              0.0096613,              0.0096613
                     15,                 1.2577,                0.99662,                 1.2706,                0.53117,                0.46558,                0.44225,                0.24022,                 1.2758,                 1.0474,                 1.3416,              0.0096353,              0.0096353,              0.0096353
                     16,                 1.2606,                0.98946,                 1.2663,                0.62563,                0.44475,                0.48072,                0.26813,                 1.2735,                 1.0014,                  1.333,              0.0096092,              0.0096092,              0.0096092
                     17,                 1.2543,                0.97803,                 1.2677,                0.61441,                0.47694,                0.49278,                0.25685,                 1.2733,                 1.0544,                 1.3334,              0.0095832,              0.0095832,              0.0095832
                     18,                 1.2435,                0.96124,                 1.2588,                 0.6991,                0.45946,                0.52191,                0.29038,                 1.2417,                0.97426,                 1.3318,              0.0095571,              0.0095571,              0.0095571
                     19,                  1.248,                0.96092,                 1.2599,                0.63531,                0.50535,                0.52424,                  0.284,                 1.2639,                0.95859,                  1.339,              0.0095311,              0.0095311,              0.0095311
                     20,                 1.2371,                0.94601,                   1.25,                0.66741,                0.47018,                0.49228,                0.27278,                 1.2737,                0.99226,                  1.335,               0.009505,               0.009505,               0.009505
                     21,                 1.2292,                 0.9324,                 1.2467,                0.56273,                 0.5016,                0.49096,                0.27236,                 1.2472,                0.96123,                 1.3214,              0.0094789,              0.0094789,              0.0094789
